City,Country,Lat,Lng,Date,Temp,Humidity,Cloudiness,Wind Speed
broome,au,-19.361912787773406,121.55685913473121,1530988124,63.18,35,0,13
lebu,cl,-36.701650985084584,-96.81489457248344,1530988124,59.58,96,92,16.02
busselton,au,-89.11146914248327,82.61474408127697,1530988125,-74.8,0,8,16.02
salinopolis,br,5.414658121178107,-44.70187741090868,1530988125,81.45,100,80,11.77
hobart,au,-88.25910543747408,134.5426808779967,1530988125,-91.63,0,0,11.43
safford,us,33.47267992986319,-109.7371453742568,1530985860,96.8,23,1,10.29
souillac,mu,-56.548458612568936,75.29260054691713,1530988125,29.07,100,64,22.39
ushuaia,ar,-68.05295346460117,-56.3098514271429,1530988125,-17.11,50,0,11.43
kabare,cd,-3.048287141423046,27.88366772788632,1530988125,73.17,54,32,2.59
albany,au,-61.62381020308369,103.93373748707069,1530988126,20.97,100,76,26.98
qaanaaq,gl,86.17334201516087,-73.77987380161063,1530988126,30.78,100,64,14.45
norman wells,ca,63.486725158969364,-124.6584480879549,1530988126,56.52,80,64,4.38
kodiak,us,49.23041962970777,-156.60989539550275,1530988126,51.12,92,100,26.87
hasaki,jp,33.94112732461326,143.83934768075892,1530988126,78.93,96,88,12.33
port hedland,au,-18.719805673568004,119.90148023114807,1530988126,77.58,98,0,19.48
cherskiy,ru,74.22234764532854,164.39128322541006,1530988126,30.87,99,80,18.48
bethel,us,48.428645382617134,-163.14979320650107,1530988127,50.58,92,92,28.54
idritsa,ru,55.973718696926795,29.00138140772546,1530988127,68.4,70,12,15.23
slave lake,ca,57.444067010205885,-114.74564163310541,1530988127,49.14,100,92,9.53
hastings,us,40.03820642862411,-98.6200554043738,1530985980,84.2,66,40,12.75
sao filipe,cv,8.772823003977436,-24.2707000303146,1530988127,78.39,100,80,7.52
fort nelson,ca,62.01882386780733,-122.75511580380778,1530988127,59.22,49,24,2.93
butaritari,ki,13.463664171292677,169.0379729825013,1530988127,82.35,100,88,20.83
grand island,us,42.28520848954466,-99.06946910754444,1530987300,89.6,52,1,14.99
ambon,id,-3.1009689735852106,126.9660050181875,1530988128,77.76,100,44,15.23
ola,ru,56.767993259922974,151.28637171011326,1530988128,50.31,96,0,15.35
saint-philippe,re,-31.688789185481028,59.464019500361985,1530988128,62.73,100,68,14.79
tiksi,ru,81.34025348323271,121.65222082289011,1530988128,32.58,98,80,19.82
hilo,us,25.099784379998468,-147.5338113839013,1530988128,73.35,100,24,18.81
bengkulu,id,-15.734023764838142,91.6161903820759,1530988128,78.12,100,64,17.02
dikson,ru,75.14350798398581,81.31595430139436,1530988128,32.85,92,0,16.58
antofagasta,cl,-23.739649338744314,-79.69211542095805,1530988129,63.09,100,0,17.69
puerto baquerizo moreno,ec,4.917327350116793,-88.55501848944945,1530988129,79.02,100,80,11.21
punta arenas,cl,-78.61559618184879,-98.98542052792452,1530988129,-38.26,0,0,2.04
atlantic beach,us,30.540768410302576,-80.05268522248677,1530988129,83.52,100,0,2.26
adrar,dz,25.137376290659603,1.2269189919299492,1530988129,109.98,6,8,10.87
moron,mn,49.414661763826786,101.1686318336944,1530988129,42.66,96,44,2.82
rikitea,pf,-50.29997386944711,-113.86328871027018,1530988129,42.66,100,88,28.77
hithadhoo,mv,-9.027138462634696,83.29838303840609,1530988129,79.47,100,68,18.25
tuatapere,nz,-51.1516878832908,158.73942559926485,1530988130,44.55,100,88,15.01
kloulklubed,pw,5.338365297196276,132.26861481550196,1530988130,79.02,100,64,13.78
tuktoyaktuk,ca,74.18900882402386,-137.07930186079736,1530988130,31.77,98,88,21.39
